Category,sub1,sub2,sub3,Role,Range,Display Role,Exp
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Business Management,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Business_Management,22 - 32,"AVP in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Business Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Business Management,VP_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Business_Management,32 - 50,"VP in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Business Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Business Management,Director_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Business_Management,50 - 80,"Director in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Business Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Business Management,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Business_Management,80 - 120,"Managing Dir. in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Business Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Change Management,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Change_Management,22 - 32,"AVP in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Change Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Change Management,VP_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Change_Management,32 - 50,"VP in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Change Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Change Management,Director_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Change_Management,50 - 80,"Director in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Change Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Change Management,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Change_Management,80 - 100,"Managing Dir. in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Change Management",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Fund Administration,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Fund_Administration,22 - 35,"AVP in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Fund Administration",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Fund Administration,VP_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Fund_Administration,32 - 50,"VP in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Fund Administration",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Fund Administration,Director_Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Fund_Administration,50 - 80,"Director in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Fund Administration",
Banking & Financial Services,Tier 1 Operations (Middle-Office),MNC Banks & Captives,Fund Administration,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Middle-Office)_MNC_Banks_and_Captives_Fund_Administration,80 - 100,"Managing Dir. in Tier 1 Operations (Middle-Office), MNC Banks & Captives, Fund Administration",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Client Servicing,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Client_Servicing,18 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Client Servicing",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Client Servicing,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Client_Servicing,28 - 40,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Client Servicing",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Client Servicing,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Client_Servicing,45 - 65,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Client Servicing",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Client Servicing,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Client_Servicing,65 - 80,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Client Servicing",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Trade Support / Capture,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Trade_Support___Capture,18 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Trade Support / Capture",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Trade Support / Capture,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Trade_Support___Capture,28 - 40,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Trade Support / Capture",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Trade Support / Capture,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Trade_Support___Capture,45 - 65,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Trade Support / Capture",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Trade Support / Capture,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Trade_Support___Capture,65 - 80,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Trade Support / Capture",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Reference Data,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Reference_Data,18 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Reference Data",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Reference Data,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Reference_Data,28 - 40,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Reference Data",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Reference Data,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Reference_Data,45 - 65,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Reference Data",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Reference Data,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Reference_Data,65 - 90,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Reference Data",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Corporate Actions,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Corporate_Actions,18 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Corporate Actions",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Corporate Actions,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Corporate_Actions,28 - 40,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Corporate Actions",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Corporate Actions,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Corporate_Actions,45 - 65,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Corporate Actions",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Corporate Actions,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Corporate_Actions,65 - 80,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Corporate Actions",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Business Management,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Business_Management,20 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Business Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Business Management,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Business_Management,28 - 45,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Business Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Business Management,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Business_Management,45 - 70,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Business Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Business Management,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Business_Management,70 - 90,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Business Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Change Management,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Change_Management,20 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Change Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Change Management,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Change_Management,28 - 45,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Change Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Change Management,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Change_Management,45 - 70,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Change Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Change Management,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Change_Management,70 - 90,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Change Management",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Fund Administration,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Fund_Administration,18 - 28,"AVP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Fund Administration",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Fund Administration,VP_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Fund_Administration,28 - 40,"VP in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Fund Administration",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Fund Administration,Director_Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Fund_Administration,45 - 65,"Director in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Fund Administration",
Banking & Financial Services,Tier 2 Operations (Middle-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Fund Administration,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Middle-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Fund_Administration,65 - 80,"Managing Dir. in Tier 2 Operations (Middle-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Fund Administration",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collection,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collection,20 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collection",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collection,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collection,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collection",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collection,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collection,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collection",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collection,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collection,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collection",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Settlement,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Settlement,20 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Settlement",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Settlement,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Settlement,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Settlement",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Settlement,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Settlement,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Settlement",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Settlement,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Settlement,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Settlement",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Reconciliation,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Reconciliation,20 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Reconciliation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Reconciliation,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Reconciliation,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Reconciliation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Reconciliation,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Reconciliation,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Reconciliation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Reconciliation,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Reconciliation,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Reconciliation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Documentation,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Documentation,20 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Documentation,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Documentation,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Documentation,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Documentation,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Documentation,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Documentation,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collateral Management,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collateral_Management,20 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collateral Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collateral Management,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collateral_Management,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collateral Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collateral Management,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collateral_Management,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collateral Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Collateral Management,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Collateral_Management,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Collateral Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,ISDA Documentation,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_ISDA_Documentation,20 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, ISDA Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,ISDA Documentation,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_ISDA_Documentation,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, ISDA Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,ISDA Documentation,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_ISDA_Documentation,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, ISDA Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,ISDA Documentation,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_ISDA_Documentation,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, ISDA Documentation",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Transaction Management,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Transaction_Management,22 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Transaction Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Transaction Management,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Transaction_Management,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Transaction Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Transaction Management,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Transaction_Management,45 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Transaction Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Transaction Management,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Transaction_Management,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Transaction Management",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Trade Finance Operations,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Trade_Finance_Operations,22 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Trade Finance Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Trade Finance Operations,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Trade_Finance_Operations,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Trade Finance Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Trade Finance Operations,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Trade_Finance_Operations,50 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Trade Finance Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Trade Finance Operations,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Trade_Finance_Operations,70 - 90,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Trade Finance Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Credit Administration / Loan Operations,AVP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Credit_Administration___Loan_Operations,22 - 28,"AVP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Credit Administration / Loan Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Credit Administration / Loan Operations,VP_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Credit_Administration___Loan_Operations,28 - 45,"VP in Tier 1 Operations (Back-Office), MNC Banks & Captives, Credit Administration / Loan Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Credit Administration / Loan Operations,Director_Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Credit_Administration___Loan_Operations,50 - 70,"Director in Tier 1 Operations (Back-Office), MNC Banks & Captives, Credit Administration / Loan Operations",
Banking & Financial Services,Tier 1 Operations (Back-Office),MNC Banks & Captives,Credit Administration / Loan Operations,Managing_Dir._Banking_and_Financial_Services_Tier_1_Operations_(Back-Office)_MNC_Banks_and_Captives_Credit_Administration___Loan_Operations,70 - 100,"Managing Dir. in Tier 1 Operations (Back-Office), MNC Banks & Captives, Credit Administration / Loan Operations",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Collection,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Collection,18 - 28,"AVP in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Collection",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Collection,VP_Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Collection,35 - 50,"VP in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Collection",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Collection,Director_Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Collection,45 - 70,"Director in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Collection",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Collection,Managing_Dir._Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Collection,75 - 120,"Managing Dir. in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Collection",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Settlement,AVP_Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Settlement,18 - 28,"AVP in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Settlement",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Settlement,VP_Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Settlement,28 - 40,"VP in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Settlement",
Banking & Financial Services,Tier 2 Operations (Back-Office),Domestic Financial Institutions & Third-Party Consulting Firms,Settlement,Director_Banking_and_Financial_Services_Tier_2_Operations_(Back-Office)_Domestic_Financial_Institutions_and_Third-Party_Consulting_Firms_Settlement,45 - 65,"Director in Tier 2 Operations (Back-Office), Domestic Financial Institutions & Third-Party Consulting Firms, Settlement",
